movie_id,name,revenue_opening,revenue_total
tt2488496,Star Wars: Episode VII - The Force Awakens,247966675,936662225
tt4154796,Avengers: Endgame,357115007,833130966
tt0499549,Avatar,77025481,760507625
tt1825683,Black Panther,202003951,700059566
tt4154756,Avengers: Infinity War,257698183,678815482
tt0120338,Titanic,28638131,659363944
tt0369610,Jurassic World,208806270,652270625
tt0848228,The Avengers,207438708,623279547
tt6877260,Star Wars Episode VIII: The Last Jedi - Trailer Reaction,220009584,620181382
tt3606756,Incredibles 2,182687905,608581744
tt0468569,The Dark Knight,158411483,533720947
tt3748528,Rogue One,155081681,532177324
tt2771200,Beauty and the Beast,174750616,504014165
tt2277860,Finding Dory,135060273,486295561
tt0120915,Star Wars: Episode I - The Phantom Menace,64810970,474544677
tt0076759,Star Wars,1554475,460998007
tt2395427,Avengers: Age of Ultron,191271109,459005868
tt0298148,Shrek 2,108037878,441226247
tt0083866,E.T. the Extra-Terrestrial,11911430,435110554
tt4154664,Captain Marvel,153433423,426709530
tt1951264,The Hunger Games: Catching Fire,158074286,424668047
tt0383574,Pirates of the Caribbean: Dead Man's Chest,135634554,423315812
tt0110357,The Lion King,1586753,421785283
tt4881806,Jurassic World: Fallen Kingdom,148024610,417719760
tt0435761,Toy Story 3,110307189,415004880
tt0451279,Wonder Woman,103251471,412563408
tt1300854,Iron Man Three,174144585,408992272
tt3498820,Captain America: Civil War,179139142,408084349
tt1392170,The Hunger Games,152535747,408010692
tt2283362,Jumanji: Welcome to the Jungle,36169328,404508916
tt0145487,Spider-Man,114844116,403706375
tt1055369,Transformers: Revenge of the Fallen,108966307,402111870
tt2294629,Frozen,243390,400738009
tt0107290,Jurassic Park,50159460,395708305
tt3896198,Guardians of the Galaxy Vol. 2,146510104,389813101
tt1201607,Harry Potter and the Deathly Hallows: Part 2,169189427,381193157
tt0266543,Finding Nemo,70251710,380529370
tt0121766,Star Wars: Episode III - Revenge of the Sith,108435841,380270577
tt0167260,The Lord of the Rings: The Return of the King,72629713,377845905
tt0101414,Beauty and the Beast,162146,376057266
tt0316654,Spider-Man 2,88156227,373524485
tt0335345,The Passion of the Christ,83848082,370782930
tt2709768,The Secret Life of Pets,104352905,368384330
tt1690953,Despicable Me 2,84227980,368065385
tt3040964,The Jungle Book,103261464,364001123
tt1431045,Deadpool,132434639,363070709
tt2096673,Inside Out,90440272,356461711
tt2820852,Furious Seven,147163560,353007020
tt1399103,Transformers: Dark of the Moon,97852865,352390543
tt2179136,American Sniper,633456,350126372
tt0167261,The Lord of the Rings: The Two Towers,62007528,342548984
tt2948356,Zootopia,75063401,341268248
tt1951265,The Hunger Games: Mockingjay - Part 1,121897634,337135885
tt0413300,Spider-Man 3,151116516,336530303
tt2293640,Minions,115718405,336045770
tt1477834,Aquaman,67873522,335061807
tt2250912,Spider-Man: Homecoming,117027503,334201140
tt1014759,Alice in Wonderland,116101023,334191110
tt2015381,Guardians of the Galaxy,94320883,333172112
tt2975590,Batman v Superman: Dawn of Justice,166007347,330360194
tt0109830,Forrest Gump,24450602,330151138
tt1396484,It,123403419,327481748
tt1386697,Suicide Squad,133682248,325100054
tt5463162,Deadpool 2,125507153,324591735
