imdb_id,name,revenue_opening,imdb_trailer,youtube_trailer
tt2488496,Star Wars: Episode VII - The Force Awakens,247966675,https://www.imdb.com/video/imdb/vi2762323481,https://www.youtube.com/watch?v=sGbxmsDFVnE
tt4154796,Avengers: Endgame,357115007,https://www.imdb.com/video/imdb/vi2163260441,https://www.youtube.com/watch?v=TcMBFSGVi1c
tt0499549,Avatar,77025481,https://www.imdb.com/video/imdb/vi531039513,https://www.youtube.com/watch?v=5PSNL1qE6VY
tt1825683,Black Panther,202003951,https://www.imdb.com/video/imdb/vi1816770585,https://www.youtube.com/watch?v=xjDjIWPwcPU
tt4154756,Avengers: Infinity War,257698183,https://www.imdb.com/video/imdb/vi528070681,https://www.youtube.com/watch?v=6ZfuNTqbHE8
tt0120338,Titanic,28638131,https://www.imdb.com/video/imdb/vi907189785,https://www.youtube.com/watch?v=zCy5WQ9S4c0
tt0369610,Jurassic World,208806270,https://www.imdb.com/video/imdb/vi1176612889,https://www.youtube.com/watch?v=L-6G911eCvg
tt0848228,The Avengers,207438708,https://www.imdb.com/video/imdb/vi1891149081,https://www.youtube.com/watch?v=1hPpG4s3-O4
tt6877260,Star Wars Episode VIII: The Last Jedi - Trailer Reaction,220009584,,https://www.youtube.com/watch?v=Q0CbN8sfihY
tt3606756,Incredibles 2,182687905,https://www.imdb.com/video/imdb/vi3210917913,https://www.youtube.com/watch?v=0SdjMhAZ9ow
tt0468569,The Dark Knight,158411483,https://www.imdb.com/video/imdb/vi324468761,https://www.youtube.com/watch?v=EXeTwQWrcwY
tt3748528,Rogue One,155081681,https://www.imdb.com/video/imdb/vi830387737,https://www.youtube.com/watch?v=frdj1zb9sMY
tt2771200,Beauty and the Beast,174750616,https://www.imdb.com/video/imdb/vi179222553,https://www.youtube.com/watch?v=SqQvZ_VUtg8
tt2277860,Finding Dory,135060273,https://www.imdb.com/video/imdb/vi2669917209,https://www.youtube.com/watch?v=pSf-5vbVpAU
tt0120915,Star Wars: Episode I - The Phantom Menace,64810970,https://www.imdb.com/video/imdb/vi2143788569,https://www.youtube.com/watch?v=Fo--sWDK_nU
tt0076759,Star Wars,1554475,https://www.imdb.com/video/imdb/vi1317709849,https://www.youtube.com/watch?v=vZ734NWnAHA
tt2395427,Avengers: Age of Ultron,191271109,https://www.imdb.com/video/imdb/vi2821566745,https://www.youtube.com/watch?v=rD8lWtcgeyg
tt1345836,The Dark Knight Rises,160887295,https://www.imdb.com/video/imdb/vi2376312089,https://www.youtube.com/watch?v=M-mf5IyVIAc
tt0298148,Shrek 2,108037878,https://www.imdb.com/video/imdb/vi1447231513,https://www.youtube.com/watch?v=Z1ELiRdwpg4
tt0083866,E.T. the Extra-Terrestrial,11911430,https://www.imdb.com/video/imdb/vi3090130201,https://www.youtube.com/watch?v=qYAETtIIClk
tt4154664,Captain Marvel,153433423,https://www.imdb.com/video/imdb/vi4235180569,https://www.youtube.com/watch?v=Z1BCujX3pw8
tt1951264,The Hunger Games: Catching Fire,158074286,https://www.imdb.com/video/imdb/vi4243236889,https://www.youtube.com/watch?v=PH-n39PCXp8
tt0383574,Pirates of the Caribbean: Dead Man's Chest,135634554,https://www.imdb.com/video/imdb/vi3077572377,https://www.youtube.com/watch?v=iPKbf7H8qC8
tt0110357,The Lion King,1586753,https://www.imdb.com/video/imdb/vi3764362265,https://www.youtube.com/watch?v=f0fReuRs890
tt4881806,Jurassic World: Fallen Kingdom,148024610,https://www.imdb.com/video/imdb/vi2465250073,https://www.youtube.com/watch?v=vn9mMeWcgoM
